experiment,image,abnormal_score,normal_score,prediction,actual,
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_34.png,0.34031582,0.4803731,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_19.png,0.4507241,0.39749864,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_07.png,0.8005206,0.07705784,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_35.png,0.76009756,0.110944435,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_18.png,0.76435316,0.10894912,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_38.png,0.46688813,0.3849882,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_27.png,0.8060953,0.07352275,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_10.png,0.24471205,0.58890504,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_40.png,0.42905813,0.4228811,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_49.png,0.8048366,0.074960634,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_08.png,0.83587325,0.05204867,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_24.png,0.41256344,0.43522027,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_05.png,0.58564323,0.2831783,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_09.png,0.3852331,0.462979,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_45.png,0.47222432,0.3852695,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_06.png,0.36959392,0.47562966,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_31.png,0.10842462,0.74417365,1,0,0
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_42.png,0.8343437,0.05306259,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_37.png,0.47534892,0.3791543,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_13.png,0.503013,0.34742418,0,0,1
experiments/extended_training/weights.25-0.8174.hdf5,elbow_data/Clean_Data/SecondTestSet/Abnormal/Validation_Abnormal_33.png,0.7257095,0.14434335,0,0,1
